Photoabsorption and Partial Photoionization Cross Sections for Molecular Nitrogen
   LAM     ABS    ION   FRAG    N2+    X      A      B      C      F     G+E     HP     H    N2++    K
  50.52  0.270  0.270  0.112  0.158  0.057  0.078  0.023  0.004  0.016  0.013  0.053  0.006  0.020  0.000
  50.69  0.273  0.273  0.113  0.160  0.058  0.079  0.023  0.004  0.016  0.013  0.053  0.006  0.020  0.000
  52.30  0.293  0.293  0.121  0.172  0.062  0.085  0.025  0.004  0.017  0.014  0.057  0.007  0.022  0.000
  52.91  0.301  0.301  0.124  0.177  0.064  0.088  0.025  0.004  0.017  0.015  0.058  0.007  0.022  0.000
  54.15  0.317  0.317  0.130  0.187  0.067  0.092  0.027  0.005  0.018  0.015  0.061  0.007  0.023  0.000
  54.42  0.320  0.320  0.131  0.189  0.068  0.093  0.027  0.005  0.018  0.016  0.062  0.007  0.024  0.000
  55.06  0.328  0.328  0.134  0.194  0.070  0.096  0.028  0.005  0.019  0.016  0.063  0.007  0.024  0.000
  55.34  0.332  0.332  0.136  0.196  0.071  0.097  0.028  0.005  0.019  0.016  0.064  0.007  0.024  0.000
  56.08  0.341  0.341  0.139  0.202  0.073  0.100  0.029  0.005  0.020  0.017  0.066  0.008  0.025  0.000
  56.92  0.352  0.352  0.144  0.208  0.075  0.103  0.030  0.005  0.020  0.017  0.068  0.008  0.026  0.000
  57.36  0.358  0.358  0.146  0.212  0.076  0.105  0.030  0.005  0.021  0.017  0.069  0.008  0.026  0.000
  57.56  0.360  0.360  0.147  0.213  0.077  0.106  0.031  0.005  0.021  0.017  0.069  0.008  0.026  0.000
  57.88  0.364  0.364  0.148  0.216  0.078  0.107  0.031  0.005  0.021  0.018  0.070  0.008  0.027  0.000
  58.96  0.380  0.380  0.154  0.225  0.081  0.112  0.032  0.005  0.022  0.018  0.073  0.008  0.028  0.000
  59.62  0.390  0.390  0.158  0.232  0.084  0.115  0.033  0.006  0.022  0.019  0.074  0.009  0.028  0.000
  60.30  0.401  0.401  0.162  0.238  0.086  0.118  0.034  0.006  0.023  0.019  0.076  0.009  0.029  0.000
  60.85  0.409  0.409  0.166  0.244  0.088  0.121  0.035  0.006  0.023  0.020  0.078  0.009  0.030  0.000
  61.07  0.413  0.413  0.167  0.246  0.089  0.122  0.035  0.006  0.023  0.020  0.079  0.009  0.030  0.000
  61.63  0.422  0.422  0.170  0.251  0.091  0.124  0.036  0.006  0.024  0.020  0.080  0.009  0.031  0.000
  61.90  0.426  0.426  0.172  0.254  0.092  0.126  0.037  0.006  0.024  0.020  0.081  0.009  0.031  0.000
  62.30  0.432  0.432  0.174  0.258  0.093  0.128  0.037  0.006  0.025  0.021  0.082  0.010  0.031  0.000
  62.35  0.433  0.433  0.175  0.258  0.093  0.128  0.037  0.006  0.025  0.021  0.082  0.010  0.031  0.000
  62.77  0.440  0.440  0.177  0.262  0.095  0.130  0.038  0.006  0.025  0.021  0.083  0.010  0.032  0.000
  63.16  0.446  0.446  0.180  0.266  0.096  0.132  0.038  0.006  0.025  0.021  0.085  0.010  0.032  0.000
  63.30  0.448  0.448  0.180  0.268  0.097  0.132  0.038  0.006  0.025  0.021  0.085  0.010  0.032  0.000
  63.65  0.453  0.453  0.182  0.271  0.098  0.134  0.039  0.006  0.026  0.022  0.086  0.010  0.033  0.000
  64.11  0.461  0.461  0.185  0.275  0.099  0.136  0.040  0.007  0.026  0.022  0.087  0.010  0.033  0.000
  64.60  0.469  0.469  0.188  0.280  0.101  0.139  0.040  0.007  0.027  0.022  0.089  0.010  0.034  0.000
  65.21  0.479  0.479  0.192  0.287  0.104  0.142  0.041  0.007  0.027  0.023  0.091  0.011  0.034  0.000
  65.71  0.488  0.488  0.196  0.292  0.106  0.145  0.042  0.007  0.028  0.023  0.092  0.011  0.035  0.000
  65.85  0.490  0.490  0.197  0.294  0.106  0.146  0.042  0.007  0.028  0.023  0.093  0.011  0.035  0.000
  66.26  0.498  0.498  0.199  0.298  0.108  0.148  0.043  0.007  0.028  0.024  0.094  0.011  0.036  0.000
  66.30  0.498  0.498  0.199  0.299  0.108  0.148  0.043  0.007  0.028  0.024  0.094  0.011  0.036  0.000
  66.37  0.500  0.500  0.200  0.300  0.108  0.148  0.043  0.007  0.028  0.024  0.094  0.011  0.036  0.000
  67.14  0.513  0.513  0.205  0.308  0.111  0.152  0.044  0.007  0.029  0.024  0.097  0.011  0.037  0.000
  67.35  0.517  0.517  0.206  0.310  0.112  0.154  0.045  0.007  0.029  0.025  0.097  0.011  0.037  0.000
  68.35  0.535  0.535  0.213  0.321  0.116  0.159  0.046  0.008  0.030  0.025  0.100  0.012  0.038  0.000
  69.65  0.558  0.558  0.222  0.336  0.121  0.166  0.048  0.008  0.031  0.026  0.105  0.012  0.040  0.000
  70.01  0.565  0.565  0.225  0.340  0.123  0.168  0.049  0.008  0.032  0.027  0.106  0.012  0.040  0.000
  70.54  0.575  0.575  0.229  0.346  0.125  0.171  0.050  0.008  0.032  0.027  0.108  0.013  0.041  0.000
  70.75  0.578  0.578  0.230  0.348  0.126  0.172  0.050  0.008  0.032  0.027  0.108  0.013  0.041  0.000
  71.01  0.583  0.583  0.232  0.351  0.127  0.174  0.051  0.008  0.033  0.028  0.109  0.013  0.042  0.000
  71.94  0.600  0.600  0.239  0.361  0.131  0.179  0.052  0.008  0.034  0.028  0.112  0.013  0.043  0.000
  72.31  0.607  0.607  0.241  0.366  0.132  0.181  0.053  0.008  0.034  0.029  0.114  0.013  0.043  0.000
  72.63  0.614  0.614  0.244  0.370  0.134  0.183  0.053  0.009  0.034  0.029  0.115  0.013  0.044  0.000
  72.80  0.617  0.617  0.245  0.372  0.134  0.184  0.054  0.009  0.035  0.029  0.115  0.013  0.044  0.000
  72.95  0.621  0.621  0.246  0.374  0.135  0.185  0.054  0.009  0.035  0.029  0.116  0.014  0.044  0.000
  73.47  0.632  0.632  0.251  0.381  0.138  0.189  0.055  0.009  0.035  0.030  0.118  0.014  0.045  0.000
  73.55  0.633  0.633  0.251  0.382  0.138  0.189  0.055  0.009  0.035  0.030  0.118  0.014  0.045  0.000
  74.21  0.647  0.647  0.256  0.391  0.141  0.193  0.056  0.009  0.036  0.031  0.121  0.014  0.046  0.000
  74.44  0.652  0.652  0.258  0.394  0.142  0.195  0.057  0.009  0.036  0.031  0.122  0.014  0.046  0.000
  74.83  0.660  0.660  0.261  0.399  0.144  0.198  0.057  0.009  0.037  0.031  0.123  0.014  0.047  0.000
  75.03  0.665  0.665  0.263  0.402  0.145  0.199  0.058  0.009  0.037  0.031  0.124  0.014  0.047  0.000
  75.29  0.670  0.670  0.265  0.405  0.146  0.201  0.058  0.009  0.037  0.032  0.125  0.015  0.048  0.000
  75.46  0.674  0.674  0.266  0.407  0.147  0.202  0.059  0.009  0.037  0.032  0.125  0.015  0.048  0.000
  75.73  0.679  0.679  0.268  0.411  0.148  0.203  0.059  0.009  0.038  0.032  0.126  0.015  0.048  0.000
  76.01  0.685  0.685  0.271  0.415  0.150  0.205  0.060  0.010  0.038  0.032  0.127  0.015  0.049  0.000
  76.48  0.695  0.695  0.274  0.421  0.152  0.208  0.061  0.010  0.039  0.033  0.129  0.015  0.049  0.000
  76.83  0.703  0.703  0.277  0.425  0.154  0.211  0.061  0.010  0.039  0.033  0.131  0.015  0.050  0.000
  76.94  0.705  0.705  0.278  0.427  0.154  0.211  0.061  0.010  0.039  0.033  0.131  0.015  0.050  0.000
  77.30  0.713  0.713  0.281  0.432  0.156  0.214  0.062  0.010  0.040  0.033  0.132  0.015  0.050  0.000
  77.74  0.722  0.722  0.284  0.437  0.158  0.217  0.063  0.010  0.040  0.034  0.134  0.016  0.051  0.000
  78.56  0.739  0.739  0.291  0.448  0.162  0.222  0.064  0.010  0.041  0.035  0.137  0.016  0.052  0.000
  78.70  0.742  0.742  0.292  0.450  0.163  0.223  0.065  0.010  0.041  0.035  0.138  0.016  0.052  0.000
  79.08  0.750  0.750  0.295  0.455  0.164  0.225  0.065  0.010  0.042  0.035  0.139  0.016  0.053  0.000
  79.48  0.759  0.759  0.298  0.460  0.166  0.228  0.066  0.010  0.042  0.035  0.140  0.016  0.053  0.000
  79.76  0.765  0.765  0.300  0.464  0.168  0.230  0.067  0.011  0.042  0.036  0.141  0.016  0.054  0.000
  80.01  0.770  0.770  0.302  0.467  0.169  0.231  0.067  0.011  0.043  0.036  0.142  0.017  0.054  0.000
  80.55  0.781  0.781  0.307  0.475  0.171  0.235  0.068  0.011  0.043  0.037  0.144  0.017  0.055  0.000
  82.43  0.821  0.821  0.322  0.499  0.180  0.247  0.072  0.011  0.045  0.038  0.152  0.018  0.058  0.000
  82.74  0.828  0.828  0.325  0.503  0.182  0.249  0.072  0.011  0.046  0.039  0.153  0.018  0.058  0.000
  82.84  0.830  0.830  0.325  0.505  0.182  0.250  0.073  0.011  0.046  0.039  0.153  0.018  0.058  0.000
  83.42  0.843  0.843  0.330  0.512  0.185  0.253  0.074  0.012  0.047  0.039  0.156  0.018  0.059  0.000
  83.67  0.849  0.849  0.333  0.516  0.186  0.255  0.074  0.012  0.047  0.040  0.157  0.018  0.060  0.000
  84.01  0.857  0.857  0.336  0.521  0.188  0.258  0.075  0.012  0.047  0.040  0.158  0.018  0.060  0.000
  86.77  0.925  0.925  0.362  0.563  0.203  0.279  0.081  0.013  0.051  0.043  0.170  0.020  0.065  0.000
  86.86  0.927  0.927  0.363  0.565  0.204  0.280  0.081  0.013  0.051  0.043  0.171  0.020  0.065  0.000
  86.98  0.930  0.930  0.364  0.567  0.205  0.280  0.082  0.013  0.051  0.043  0.171  0.020  0.065  0.000
  87.30  0.938  0.938  0.367  0.571  0.206  0.283  0.082  0.013  0.052  0.044  0.173  0.020  0.066  0.000
  87.61  0.946  0.946  0.370  0.576  0.208  0.285  0.083  0.013  0.052  0.044  0.174  0.020  0.066  0.000
  88.09  0.958  0.958  0.374  0.584  0.211  0.289  0.084  0.013  0.053  0.045  0.176  0.021  0.067  0.000
  88.11  0.958  0.958  0.374  0.584  0.211  0.289  0.084  0.013  0.053  0.045  0.176  0.021  0.067  0.000
  88.14  0.959  0.959  0.375  0.584  0.211  0.289  0.084  0.013  0.053  0.045  0.176  0.021  0.067  0.000
  88.42  0.966  0.966  0.377  0.589  0.213  0.291  0.085  0.013  0.053  0.045  0.178  0.021  0.068  0.000
  88.64  0.971  0.971  0.379  0.592  0.214  0.293  0.085  0.013  0.053  0.045  0.179  0.021  0.068  0.000
  88.90  0.978  0.978  0.382  0.596  0.215  0.295  0.086  0.013  0.054  0.045  0.180  0.021  0.068  0.000
  89.14  0.984  0.984  0.384  0.600  0.217  0.297  0.086  0.014  0.054  0.046  0.181  0.021  0.069  0.000
  89.70  0.997  0.997  0.389  0.608  0.220  0.301  0.088  0.014  0.055  0.046  0.183  0.021  0.070  0.000
  90.14  1.008  1.008  0.393  0.615  0.222  0.304  0.088  0.014  0.055  0.047  0.185  0.022  0.070  0.000
  90.45  1.016  1.016  0.396  0.620  0.224  0.307  0.089  0.014  0.056  0.047  0.187  0.022  0.071  0.000
  90.71  1.022  1.022  0.399  0.624  0.225  0.309  0.090  0.014  0.056  0.047  0.188  0.022  0.071  0.000
  91.01  1.030  1.030  0.401  0.628  0.227  0.311  0.090  0.014  0.056  0.048  0.189  0.022  0.072  0.000
  91.48  1.041  1.041  0.406  0.636  0.230  0.315  0.091  0.014  0.057  0.048  0.191  0.022  0.073  0.000
  91.69  1.046  1.046  0.408  0.639  0.231  0.316  0.092  0.014  0.057  0.049  0.192  0.022  0.073  0.000
  91.81  1.049  1.049  0.409  0.641  0.231  0.317  0.092  0.014  0.058  0.049  0.193  0.022  0.073  0.000
  92.09  1.056  1.056  0.411  0.645  0.233  0.319  0.093  0.014  0.058  0.049  0.194  0.023  0.074  0.000
  92.81  1.074  1.074  0.418  0.656  0.237  0.325  0.094  0.015  0.059  0.050  0.197  0.023  0.075  0.000
  93.61  1.095  1.095  0.426  0.669  0.241  0.331  0.096  0.015  0.060  0.051  0.201  0.023  0.076  0.000
  94.07  1.108  1.108  0.431  0.677  0.244  0.335  0.097  0.015  0.061  0.051  0.203  0.024  0.077  0.000
  94.25  1.113  1.113  0.433  0.680  0.245  0.336  0.098  0.015  0.061  0.052  0.204  0.024  0.078  0.000
  94.39  1.117  1.117  0.435  0.682  0.246  0.338  0.098  0.015  0.061  0.052  0.205  0.024  0.078  0.000
  94.90  1.131  1.131  0.440  0.691  0.250  0.342  0.099  0.015  0.062  0.052  0.207  0.024  0.079  0.000
  95.37  1.144  1.144  0.445  0.699  0.252  0.346  0.101  0.016  0.063  0.053  0.210  0.024  0.080  0.000
  95.51  1.148  1.148  0.447  0.701  0.253  0.347  0.101  0.016  0.063  0.053  0.210  0.025  0.080  0.000
  95.81  1.157  1.157  0.450  0.707  0.255  0.350  0.102  0.016  0.063  0.054  0.212  0.025  0.081  0.000
  96.05  1.164  1.164  0.453  0.711  0.257  0.352  0.102  0.016  0.064  0.054  0.213  0.025  0.081  0.000
  96.49  1.176  1.176  0.458  0.718  0.259  0.356  0.103  0.016  0.064  0.054  0.215  0.025  0.082  0.000
  96.83  1.186  1.186  0.461  0.724  0.262  0.359  0.104  0.016  0.065  0.055  0.217  0.025  0.083  0.000
  97.12  1.194  1.194  0.464  0.729  0.263  0.361  0.105  0.016  0.065  0.055  0.219  0.025  0.083  0.000
  97.51  1.205  1.205  0.469  0.736  0.266  0.364  0.106  0.016  0.066  0.056  0.221  0.026  0.084  0.000
  97.87  1.215  1.215  0.473  0.742  0.268  0.367  0.107  0.017  0.067  0.056  0.223  0.026  0.085  0.000
  98.12  1.222  1.222  0.475  0.747  0.270  0.370  0.107  0.017  0.067  0.057  0.224  0.026  0.085  0.000
  98.26  1.226  1.226  0.477  0.749  0.271  0.371  0.108  0.017  0.067  0.057  0.225  0.026  0.086  0.000
  98.50  1.233  1.233  0.480  0.753  0.272  0.373  0.108  0.017  0.068  0.057  0.226  0.026  0.086  0.000
  99.71  1.267  1.267  0.493  0.774  0.280  0.383  0.111  0.017  0.069  0.059  0.232  0.027  0.088  0.000
  99.99  1.275  1.275  0.496  0.779  0.281  0.386  0.112  0.017  0.070  0.059  0.234  0.027  0.089  0.000
 100.54  1.290  1.290  0.502  0.788  0.285  0.390  0.113  0.018  0.071  0.060  0.236  0.028  0.090  0.000
 103.01  1.360  1.360  0.529  0.831  0.300  0.411  0.120  0.019  0.074  0.063  0.249  0.029  0.095  0.000
 103.15  1.364  1.364  0.531  0.834  0.301  0.413  0.120  0.019  0.075  0.063  0.250  0.029  0.095  0.000
 103.58  1.376  1.376  0.535  0.841  0.304  0.416  0.121  0.019  0.075  0.064  0.252  0.029  0.096  0.000
 103.94  1.387  1.387  0.539  0.847  0.306  0.419  0.122  0.019  0.076  0.064  0.254  0.030  0.097  0.000
 105.23  1.423  1.423  0.553  0.870  0.314  0.430  0.125  0.019  0.078  0.066  0.261  0.030  0.099  0.000
 106.25  1.452  1.452  0.565  0.887  0.320  0.439  0.128  0.020  0.079  0.067  0.266  0.031  0.101  0.000
 108.05  1.503  1.503  0.584  0.918  0.332  0.455  0.132  0.021  0.082  0.070  0.275  0.032  0.105  0.000
 109.98  1.563  1.563  0.607  0.955  0.345  0.473  0.137  0.021  0.085  0.072  0.286  0.033  0.109  0.000
 110.56  1.582  1.582  0.614  0.967  0.349  0.479  0.139  0.022  0.086  0.073  0.289  0.034  0.110  0.000
 110.62  1.584  1.584  0.615  0.968  0.350  0.479  0.139  0.022  0.087  0.073  0.290  0.034  0.110  0.000
 110.76  1.588  1.588  0.617  0.971  0.351  0.481  0.140  0.022  0.087  0.073  0.290  0.034  0.111  0.000
 111.16  1.601  1.601  0.622  0.979  0.354  0.485  0.141  0.022  0.088  0.074  0.293  0.034  0.111  0.000
 111.25  1.604  1.604  0.623  0.981  0.354  0.486  0.141  0.022  0.088  0.074  0.293  0.034  0.112  0.000
 113.80  1.687  1.687  0.654  1.032  0.373  0.511  0.149  0.023  0.092  0.078  0.308  0.036  0.117  0.000
 114.09  1.698  1.698  0.655  1.042  0.376  0.516  0.150  0.023  0.092  0.078  0.309  0.036  0.118  0.000
 114.24  1.705  1.705  0.653  1.052  0.380  0.521  0.151  0.023  0.092  0.078  0.308  0.036  0.117  0.000
 115.39  1.760  1.760  0.636  1.124  0.406  0.556  0.162  0.022  0.090  0.076  0.300  0.035  0.114  0.000
 115.82  1.781  1.781  0.630  1.151  0.416  0.570  0.166  0.022  0.089  0.075  0.297  0.035  0.113  0.000
 116.75  1.818  1.818  0.639  1.179  0.426  0.584  0.170  0.022  0.090  0.076  0.301  0.035  0.115  0.000
 117.20  1.837  1.837  0.643  1.193  0.431  0.591  0.172  0.023  0.091  0.077  0.303  0.035  0.115  0.000
 120.40  1.966  1.966  0.676  1.290  0.466  0.639  0.186  0.024  0.095  0.080  0.318  0.037  0.121  0.000
 121.15  1.996  1.996  0.686  1.310  0.473  0.648  0.188  0.024  0.097  0.082  0.323  0.038  0.123  0.000
 121.79  2.022  2.022  0.695  1.327  0.479  0.657  0.191  0.024  0.098  0.083  0.327  0.038  0.125  0.000
 122.70  2.058  2.058  0.708  1.350  0.488  0.668  0.194  0.025  0.100  0.084  0.333  0.039  0.127  0.000
 123.50  2.090  2.090  0.719  1.371  0.495  0.679  0.197  0.025  0.101  0.086  0.339  0.039  0.129  0.000
 127.65  2.267  2.267  0.788  1.479  0.534  0.732  0.213  0.028  0.111  0.094  0.371  0.043  0.141  0.000
 129.87  2.364  2.364  0.828  1.537  0.555  0.761  0.221  0.029  0.116  0.099  0.390  0.045  0.148  0.000
 130.30  2.381  2.381  0.832  1.549  0.559  0.767  0.223  0.029  0.117  0.099  0.392  0.046  0.149  0.000
 131.02  2.409  2.409  0.838  1.571  0.567  0.777  0.226  0.029  0.118  0.100  0.395  0.046  0.150  0.000
 131.21  2.416  2.416  0.840  1.576  0.569  0.780  0.227  0.030  0.118  0.100  0.395  0.046  0.151  0.000
 136.21  2.611  2.611  0.885  1.726  0.623  0.855  0.248  0.031  0.124  0.105  0.417  0.049  0.159  0.000
 136.28  2.614  2.614  0.885  1.728  0.624  0.856  0.249  0.031  0.125  0.105  0.417  0.049  0.159  0.000
 136.34  2.616  2.616  0.886  1.730  0.625  0.856  0.249  0.031  0.125  0.105  0.417  0.049  0.159  0.000
 136.45  2.621  2.621  0.887  1.734  0.626  0.858  0.249  0.031  0.125  0.106  0.418  0.049  0.159  0.000
 136.48  2.622  2.622  0.888  1.734  0.626  0.859  0.250  0.031  0.125  0.106  0.418  0.049  0.159  0.000
 141.20  2.820  2.820  0.942  1.878  0.678  0.930  0.270  0.033  0.133  0.112  0.444  0.052  0.169  0.000
 144.27  2.949  2.949  0.973  1.977  0.714  0.978  0.284  0.034  0.137  0.116  0.458  0.053  0.174  0.000
 145.04  2.982  2.982  0.981  2.001  0.723  0.991  0.288  0.035  0.138  0.117  0.462  0.054  0.176  0.000
 148.40  3.136  3.136  1.041  2.095  0.757  1.037  0.301  0.037  0.147  0.124  0.490  0.057  0.187  0.000
 150.10  3.215  3.215  1.072  2.143  0.774  1.061  0.308  0.038  0.151  0.128  0.505  0.059  0.192  0.000
 152.15  3.317  3.317  1.117  2.200  0.795  1.089  0.317  0.039  0.157  0.133  0.526  0.061  0.200  0.000
 154.18  3.419  3.419  1.162  2.257  0.815  1.117  0.325  0.041  0.164  0.138  0.547  0.064  0.208  0.000
 157.73  3.596  3.596  1.246  2.351  0.849  1.164  0.338  0.044  0.175  0.148  0.587  0.068  0.223  0.000
 158.37  3.628  3.628  1.261  2.368  0.855  1.172  0.341  0.044  0.177  0.150  0.594  0.069  0.226  0.000
 159.98  3.709  3.709  1.300  2.409  0.870  1.193  0.347  0.046  0.183  0.155  0.612  0.071  0.233  0.000
 160.37  3.729  3.729  1.307  2.422  0.875  1.199  0.348  0.046  0.184  0.156  0.616  0.072  0.234  0.000
 162.01  3.815  3.815  1.340  2.474  0.894  1.225  0.356  0.047  0.189  0.160  0.631  0.074  0.240  0.000
 164.15  3.926  3.926  1.383  2.543  0.918  1.259  0.366  0.049  0.195  0.165  0.651  0.076  0.248  0.000
 167.50  4.105  4.105  1.450  2.655  0.959  1.314  0.382  0.051  0.204  0.173  0.683  0.080  0.260  0.000
 168.17  4.141  4.141  1.463  2.678  0.967  1.325  0.385  0.051  0.206  0.174  0.689  0.080  0.262  0.000
 168.55  4.162  4.162  1.471  2.691  0.972  1.332  0.387  0.052  0.207  0.175  0.693  0.081  0.264  0.000
 168.92  4.182  4.182  1.478  2.703  0.976  1.338  0.389  0.052  0.208  0.176  0.696  0.081  0.265  0.000
 169.70  4.224  4.224  1.494  2.730  0.986  1.351  0.393  0.053  0.210  0.178  0.704  0.082  0.268  0.000
 171.08  4.298  4.298  1.522  2.777  1.003  1.374  0.399  0.054  0.214  0.181  0.717  0.083  0.273  0.000
 172.17  4.357  4.357  1.543  2.814  1.016  1.393  0.405  0.054  0.217  0.184  0.727  0.085  0.277  0.000
 173.08  4.406  4.406  1.562  2.845  1.027  1.408  0.409  0.055  0.220  0.186  0.735  0.086  0.280  0.000
 174.58  4.487  4.487  1.592  2.896  1.046  1.433  0.417  0.056  0.224  0.189  0.749  0.087  0.285  0.000
 175.26  4.526  4.526  1.607  2.919  1.054  1.445  0.420  0.057  0.226  0.191  0.757  0.088  0.288  0.000
 177.24  4.644  4.644  1.658  2.986  1.078  1.478  0.430  0.058  0.233  0.197  0.781  0.091  0.297  0.000
 178.05  4.693  4.693  1.679  3.014  1.088  1.492  0.434  0.059  0.236  0.200  0.791  0.092  0.301  0.000
 179.27  4.766  4.766  1.711  3.055  1.103  1.512  0.440  0.060  0.241  0.204  0.806  0.094  0.307  0.000
 179.75  4.795  4.795  1.724  3.072  1.109  1.520  0.442  0.061  0.243  0.205  0.812  0.095  0.309  0.000
 180.41  4.839  4.839  1.744  3.095  1.118  1.532  0.445  0.061  0.245  0.208  0.821  0.096  0.313  0.000
 181.14  4.890  4.890  1.769  3.121  1.127  1.545  0.449  0.062  0.249  0.211  0.833  0.097  0.317  0.000
 182.17  4.962  4.962  1.804  3.158  1.141  1.563  0.454  0.063  0.254  0.215  0.849  0.099  0.323  0.000
 183.45  5.051  5.051  1.847  3.204  1.157  1.586  0.461  0.065  0.260  0.220  0.870  0.101  0.331  0.000
 184.53  5.127  5.127  1.884  3.243  1.171  1.605  0.467  0.066  0.265  0.224  0.887  0.103  0.338  0.000
 184.80  5.146  5.146  1.893  3.253  1.175  1.610  0.468  0.067  0.266  0.225  0.892  0.104  0.339  0.000
 185.21  5.174  5.174  1.906  3.268  1.180  1.618  0.470  0.067  0.268  0.227  0.898  0.105  0.342  0.000
 186.60  5.269  5.269  1.948  3.321  1.199  1.644  0.478  0.069  0.274  0.232  0.917  0.107  0.349  0.000
 186.87  5.287  5.287  1.956  3.331  1.203  1.649  0.479  0.069  0.275  0.233  0.921  0.107  0.351  0.000
 187.95  5.361  5.361  1.988  3.372  1.218  1.669  0.485  0.070  0.280  0.237  0.936  0.109  0.357  0.000
 188.23  5.380  5.380  1.997  3.383  1.222  1.674  0.487  0.070  0.281  0.238  0.940  0.110  0.358  0.000
 188.31  5.385  5.385  1.999  3.386  1.223  1.676  0.487  0.070  0.281  0.238  0.941  0.110  0.358  0.000
 190.02  5.501  5.501  2.051  3.451  1.246  1.708  0.496  0.072  0.289  0.244  0.966  0.112  0.368  0.000
 191.04  5.569  5.569  2.077  3.492  1.261  1.728  0.502  0.072  0.293  0.246  0.982  0.111  0.374  0.000
 191.34  5.588  5.588  2.085  3.504  1.265  1.734  0.504  0.072  0.294  0.246  0.988  0.110  0.376  0.000
 192.40  5.658  5.658  2.112  3.546  1.281  1.755  0.510  0.070  0.299  0.246  1.008  0.106  0.384  0.000
 192.82  5.686  5.686  2.123  3.563  1.287  1.764  0.513  0.070  0.300  0.246  1.016  0.104  0.387  0.000
 193.52  5.732  5.732  2.142  3.591  1.297  1.777  0.517  0.069  0.303  0.246  1.030  0.102  0.392  0.000
 195.13  5.840  5.840  2.184  3.656  1.320  1.810  0.526  0.067  0.310  0.246  1.061  0.095  0.404  0.000
 196.52  5.942  5.942  2.226  3.717  1.342  1.840  0.535  0.065  0.317  0.247  1.091  0.090  0.415  0.000
 196.65  5.952  5.952  2.229  3.723  1.344  1.843  0.536  0.065  0.318  0.247  1.094  0.089  0.416  0.000
 197.44  6.011  6.011  2.253  3.757  1.357  1.860  0.541  0.064  0.322  0.247  1.112  0.086  0.423  0.000
 198.58  6.095  6.095  2.287  3.808  1.375  1.885  0.548  0.063  0.327  0.248  1.137  0.081  0.432  0.000
 200.02  6.202  6.202  2.331  3.871  1.398  1.916  0.557  0.061  0.334  0.248  1.169  0.074  0.444  0.000
 201.13  6.286  6.286  2.364  3.922  1.416  1.941  0.564  0.059  0.340  0.248  1.194  0.069  0.454  0.000
 202.05  6.356  6.356  2.391  3.964  1.432  1.962  0.570  0.058  0.344  0.248  1.215  0.065  0.461  0.000
 202.64  6.401  6.401  2.409  3.991  1.441  1.976  0.574  0.057  0.347  0.248  1.227  0.063  0.467  0.000
