Photoabsorption and Partial Photoionization Cross Sections for Molecular Oxygen
   LAM     ABS    ION   FRAG    O2+    X      a+A     b       B   2pi+c  2sig   33 eV  2,4sig  K
   67.14  0.862  0.862  0.750  0.111  0.044  0.039  0.028  0.077  0.254  0.066  0.131  0.222  0.000
   67.35  0.868  0.868  0.756  0.113  0.045  0.040  0.028  0.077  0.256  0.066  0.132  0.224  0.000
   68.35  0.899  0.899  0.779  0.120  0.048  0.042  0.030  0.080  0.264  0.068  0.136  0.231  0.000
   69.65  0.939  0.939  0.810  0.129  0.051  0.046  0.032  0.083  0.275  0.071  0.141  0.240  0.000
   70.01  0.950  0.950  0.818  0.132  0.052  0.047  0.033  0.084  0.277  0.071  0.143  0.243  0.000
   70.54  0.967  0.967  0.831  0.136  0.054  0.048  0.034  0.085  0.282  0.073  0.145  0.246  0.000
   70.75  0.973  0.973  0.836  0.137  0.055  0.049  0.034  0.086  0.283  0.073  0.146  0.248  0.000
   71.01  0.982  0.982  0.842  0.139  0.055  0.049  0.035  0.086  0.286  0.074  0.147  0.250  0.000
   71.94  1.011  1.011  0.865  0.147  0.058  0.052  0.036  0.089  0.293  0.076  0.151  0.256  0.000
   72.31  1.024  1.024  0.874  0.150  0.060  0.053  0.037  0.090  0.296  0.076  0.153  0.259  0.000
   72.63  1.034  1.034  0.882  0.153  0.061  0.054  0.038  0.090  0.299  0.077  0.154  0.261  0.000
   72.80  1.040  1.040  0.886  0.154  0.061  0.055  0.038  0.091  0.300  0.077  0.155  0.263  0.000
   72.95  1.045  1.045  0.890  0.155  0.062  0.055  0.038  0.091  0.302  0.078  0.155  0.264  0.000
   73.47  1.063  1.063  0.903  0.160  0.064  0.057  0.040  0.093  0.306  0.079  0.158  0.268  0.000
   73.55  1.065  1.065  0.905  0.161  0.064  0.057  0.040  0.093  0.307  0.079  0.158  0.268  0.000
   74.21  1.088  1.088  0.922  0.167  0.066  0.059  0.041  0.094  0.312  0.080  0.161  0.273  0.000
   74.44  1.096  1.096  0.927  0.169  0.067  0.060  0.042  0.095  0.314  0.081  0.162  0.275  0.000
   74.83  1.110  1.110  0.937  0.172  0.069  0.061  0.043  0.096  0.318  0.082  0.164  0.278  0.000
   75.03  1.117  1.117  0.942  0.174  0.069  0.062  0.043  0.097  0.320  0.082  0.165  0.279  0.000
   75.29  1.126  1.126  0.949  0.177  0.070  0.063  0.044  0.097  0.322  0.083  0.166  0.281  0.000
   75.46  1.132  1.132  0.954  0.178  0.071  0.063  0.044  0.098  0.323  0.083  0.167  0.283  0.000
   75.73  1.141  1.141  0.960  0.181  0.072  0.064  0.045  0.098  0.326  0.084  0.168  0.285  0.000
   76.01  1.151  1.151  0.968  0.184  0.073  0.065  0.045  0.099  0.328  0.085  0.169  0.287  0.000
   76.48  1.168  1.168  0.980  0.188  0.075  0.067  0.047  0.100  0.332  0.086  0.171  0.290  0.000
   76.83  1.181  1.181  0.989  0.192  0.076  0.068  0.048  0.101  0.335  0.086  0.173  0.293  0.000
   76.94  1.185  1.185  0.992  0.193  0.077  0.069  0.048  0.102  0.336  0.087  0.173  0.294  0.000
   77.30  1.198  1.198  1.001  0.197  0.078  0.070  0.049  0.103  0.340  0.087  0.175  0.297  0.000
   77.74  1.214  1.214  1.013  0.201  0.080  0.071  0.050  0.104  0.343  0.088  0.177  0.300  0.000
   78.56  1.245  1.245  1.035  0.210  0.084  0.075  0.052  0.106  0.351  0.090  0.181  0.307  0.000
   78.70  1.250  1.250  1.038  0.212  0.084  0.075  0.052  0.106  0.352  0.091  0.181  0.308  0.000
   79.08  1.264  1.264  1.048  0.216  0.086  0.077  0.053  0.107  0.355  0.092  0.183  0.311  0.000
   79.48  1.279  1.279  1.059  0.220  0.088  0.078  0.055  0.109  0.359  0.093  0.185  0.314  0.000
   79.76  1.290  1.290  1.066  0.224  0.089  0.079  0.055  0.109  0.362  0.093  0.186  0.316  0.000
   80.01  1.300  1.300  1.073  0.226  0.090  0.080  0.056  0.110  0.364  0.094  0.187  0.318  0.000
   80.55  1.320  1.320  1.088  0.233  0.093  0.083  0.058  0.111  0.369  0.095  0.190  0.322  0.000
   82.43  1.392  1.392  1.137  0.255  0.101  0.091  0.063  0.116  0.385  0.099  0.199  0.337  0.000
   82.74  1.402  1.402  1.143  0.259  0.103  0.092  0.064  0.117  0.388  0.100  0.200  0.339  0.000
   82.84  1.405  1.405  1.145  0.260  0.103  0.092  0.064  0.117  0.388  0.100  0.200  0.340  0.000
   83.42  1.424  1.424  1.158  0.267  0.106  0.095  0.066  0.119  0.393  0.101  0.202  0.343  0.000
   83.67  1.434  1.434  1.164  0.270  0.107  0.096  0.067  0.119  0.395  0.102  0.203  0.345  0.000
   84.01  1.447  1.447  1.173  0.274  0.109  0.097  0.068  0.120  0.398  0.102  0.205  0.348  0.000
   86.77  1.558  1.558  1.246  0.312  0.124  0.111  0.077  0.128  0.423  0.109  0.218  0.369  0.000
   86.86  1.562  1.562  1.249  0.313  0.125  0.111  0.078  0.128  0.423  0.109  0.218  0.370  0.000
   86.98  1.567  1.567  1.252  0.315  0.125  0.112  0.078  0.128  0.424  0.109  0.219  0.371  0.000
   87.30  1.580  1.580  1.260  0.320  0.127  0.113  0.079  0.129  0.427  0.110  0.220  0.374  0.000
   87.61  1.593  1.593  1.269  0.324  0.129  0.115  0.080  0.130  0.430  0.111  0.222  0.376  0.000
   88.09  1.613  1.613  1.282  0.331  0.132  0.118  0.082  0.131  0.435  0.112  0.224  0.380  0.000
   88.11  1.614  1.614  1.282  0.332  0.132  0.118  0.082  0.131  0.435  0.112  0.224  0.380  0.000
   88.14  1.615  1.615  1.283  0.332  0.132  0.118  0.082  0.131  0.435  0.112  0.224  0.380  0.000
   88.42  1.627  1.627  1.290  0.336  0.134  0.119  0.083  0.132  0.438  0.113  0.225  0.382  0.000
   88.64  1.636  1.636  1.296  0.340  0.135  0.121  0.084  0.133  0.440  0.113  0.226  0.384  0.000
   88.90  1.647  1.647  1.303  0.344  0.137  0.122  0.085  0.134  0.442  0.114  0.228  0.386  0.000
   89.14  1.657  1.657  1.310  0.347  0.138  0.123  0.086  0.134  0.444  0.114  0.229  0.388  0.000
   89.70  1.681  1.681  1.325  0.356  0.142  0.126  0.088  0.136  0.449  0.116  0.231  0.393  0.000
   90.14  1.700  1.700  1.337  0.363  0.144  0.129  0.090  0.137  0.453  0.117  0.233  0.396  0.000
   90.45  1.713  1.713  1.345  0.368  0.146  0.131  0.091  0.138  0.456  0.117  0.235  0.399  0.000
   90.71  1.724  1.724  1.352  0.372  0.148  0.132  0.092  0.139  0.458  0.118  0.236  0.401  0.000
   91.01  1.737  1.737  1.360  0.377  0.150  0.134  0.093  0.139  0.461  0.119  0.238  0.403  0.000
   91.48  1.758  1.758  1.373  0.385  0.153  0.137  0.095  0.141  0.465  0.120  0.240  0.407  0.000
   91.69  1.767  1.767  1.378  0.389  0.155  0.138  0.096  0.141  0.467  0.120  0.241  0.409  0.000
   91.81  1.772  1.772  1.382  0.391  0.155  0.139  0.097  0.142  0.468  0.121  0.241  0.410  0.000
   92.09  1.785  1.785  1.389  0.396  0.157  0.140  0.098  0.142  0.471  0.121  0.243  0.412  0.000
   92.81  1.817  1.817  1.409  0.408  0.162  0.145  0.101  0.144  0.478  0.123  0.246  0.418  0.000
   93.61  1.853  1.853  1.430  0.422  0.168  0.150  0.105  0.147  0.485  0.125  0.250  0.424  0.000
   94.07  1.873  1.873  1.443  0.431  0.171  0.153  0.107  0.148  0.489  0.126  0.252  0.428  0.000
   94.25  1.881  1.881  1.448  0.434  0.172  0.154  0.107  0.148  0.491  0.126  0.253  0.429  0.000
   94.39  1.888  1.888  1.451  0.436  0.174  0.155  0.108  0.149  0.492  0.127  0.254  0.430  0.000
   94.90  1.911  1.911  1.465  0.446  0.177  0.158  0.110  0.150  0.497  0.128  0.256  0.434  0.000
   95.37  1.932  1.932  1.478  0.455  0.181  0.161  0.113  0.151  0.501  0.129  0.258  0.438  0.000
   95.51  1.939  1.939  1.481  0.457  0.182  0.162  0.113  0.152  0.502  0.129  0.259  0.439  0.000
   95.81  1.953  1.953  1.489  0.463  0.184  0.164  0.115  0.153  0.505  0.130  0.260  0.441  0.000
   96.05  1.964  1.964  1.496  0.468  0.186  0.166  0.116  0.153  0.507  0.131  0.261  0.443  0.000
   96.49  1.984  1.984  1.508  0.476  0.189  0.169  0.118  0.154  0.511  0.132  0.263  0.447  0.000
   96.83  2.000  2.000  1.517  0.483  0.192  0.171  0.120  0.155  0.514  0.132  0.265  0.450  0.000
   97.12  2.013  2.013  1.525  0.489  0.194  0.173  0.121  0.156  0.517  0.133  0.266  0.452  0.000
   97.51  2.032  2.032  1.535  0.497  0.197  0.176  0.123  0.157  0.521  0.134  0.268  0.455  0.000
   97.87  2.049  2.049  1.545  0.504  0.200  0.179  0.125  0.158  0.524  0.135  0.270  0.458  0.000
   98.12  2.061  2.061  1.552  0.509  0.202  0.181  0.126  0.159  0.526  0.136  0.271  0.460  0.000
   98.26  2.067  2.067  1.555  0.512  0.204  0.182  0.127  0.159  0.527  0.136  0.272  0.461  0.000
   98.50  2.079  2.079  1.562  0.517  0.206  0.183  0.128  0.160  0.530  0.136  0.273  0.463  0.000
   99.71  2.137  2.137  1.594  0.543  0.216  0.193  0.134  0.163  0.541  0.139  0.278  0.473  0.000
   99.99  2.151  2.151  1.602  0.549  0.218  0.195  0.136  0.164  0.543  0.140  0.280  0.475  0.000
  100.54  2.177  2.177  1.616  0.561  0.223  0.199  0.139  0.166  0.548  0.141  0.282  0.479  0.000
  103.01  2.300  2.300  1.683  0.618  0.246  0.219  0.153  0.172  0.570  0.147  0.294  0.499  0.000
  103.15  2.307  2.307  1.686  0.621  0.247  0.220  0.154  0.173  0.572  0.147  0.295  0.500  0.000
  103.58  2.329  2.329  1.698  0.631  0.251  0.224  0.156  0.174  0.576  0.148  0.297  0.503  0.000
  103.94  2.347  2.347  1.707  0.640  0.254  0.227  0.158  0.175  0.579  0.149  0.298  0.506  0.000
  105.23  2.414  2.414  1.742  0.672  0.267  0.239  0.166  0.178  0.590  0.152  0.304  0.516  0.000
  106.25  2.467  2.467  1.768  0.699  0.278  0.248  0.173  0.181  0.600  0.154  0.309  0.524  0.000
  108.05  2.563  2.563  1.816  0.747  0.297  0.265  0.185  0.186  0.616  0.159  0.317  0.538  0.000
  109.98  2.662  2.662  1.862  0.800  0.318  0.284  0.198  0.191  0.631  0.163  0.325  0.552  0.000
  110.56  2.691  2.691  1.875  0.816  0.324  0.289  0.202  0.192  0.636  0.164  0.328  0.556  0.000
  110.62  2.694  2.694  1.877  0.817  0.325  0.290  0.202  0.192  0.636  0.164  0.328  0.556  0.000
  110.76  2.701  2.701  1.880  0.821  0.327  0.291  0.203  0.193  0.637  0.164  0.328  0.557  0.000
  111.16  2.722  2.722  1.889  0.833  0.331  0.295  0.206  0.194  0.640  0.165  0.330  0.560  0.000
  111.25  2.726  2.726  1.891  0.835  0.332  0.296  0.207  0.194  0.641  0.165  0.330  0.561  0.000
  113.80  2.858  2.858  1.948  0.910  0.362  0.323  0.225  0.200  0.660  0.170  0.340  0.577  0.000
  114.09  2.873  2.873  1.954  0.919  0.365  0.326  0.228  0.200  0.663  0.171  0.341  0.579  0.000
  114.24  2.882  2.882  1.958  0.924  0.367  0.328  0.229  0.201  0.664  0.171  0.342  0.580  0.000
  115.39  2.946  2.946  1.985  0.961  0.382  0.341  0.238  0.203  0.673  0.173  0.347  0.588  0.000
  115.82  2.970  2.970  1.995  0.975  0.388  0.346  0.241  0.204  0.677  0.174  0.349  0.591  0.000
  116.75  3.023  3.023  2.017  1.006  0.400  0.357  0.249  0.207  0.684  0.176  0.352  0.598  0.000
  117.20  3.049  3.049  2.028  1.021  0.406  0.362  0.253  0.208  0.687  0.177  0.354  0.601  0.000
  120.40  3.235  3.235  2.100  1.135  0.451  0.403  0.281  0.215  0.712  0.183  0.367  0.623  0.000
  121.15  3.280  3.280  2.117  1.163  0.462  0.413  0.288  0.217  0.718  0.185  0.370  0.628  0.000
  121.79  3.318  3.318  2.131  1.187  0.472  0.421  0.294  0.218  0.723  0.186  0.372  0.632  0.000
  122.70  3.373  3.373  2.151  1.222  0.486  0.434  0.303  0.220  0.729  0.188  0.376  0.638  0.000
  123.50  3.421  3.421  2.168  1.253  0.498  0.445  0.310  0.222  0.735  0.189  0.379  0.643  0.000
  127.65  3.680  3.680  2.253  1.427  0.567  0.506  0.353  0.231  0.764  0.197  0.394  0.668  0.000
  129.87  3.822  3.822  2.296  1.526  0.607  0.542  0.378  0.235  0.778  0.201  0.401  0.681  0.000
  130.30  3.850  3.850  2.304  1.546  0.615  0.549  0.383  0.236  0.781  0.201  0.402  0.683  0.000
  131.02  3.897  3.897  2.316  1.581  0.628  0.561  0.391  0.237  0.785  0.202  0.405  0.687  0.000
  131.21  3.909  3.909  2.320  1.590  0.632  0.564  0.394  0.238  0.786  0.203  0.405  0.688  0.000
  136.21  4.240  4.240  2.396  1.843  0.733  0.654  0.456  0.246  0.812  0.209  0.419  0.710  0.000
  136.28  4.209  4.209  2.377  1.832  0.728  0.650  0.453  0.244  0.806  0.208  0.415  0.705  0.000
  136.34  4.213  4.213  2.378  1.835  0.730  0.651  0.454  0.244  0.806  0.208  0.415  0.705  0.000
  136.45  4.221  4.221  2.380  1.841  0.732  0.653  0.456  0.244  0.807  0.208  0.416  0.705  0.000
  136.48  4.223  4.223  2.380  1.843  0.733  0.654  0.456  0.244  0.807  0.208  0.416  0.706  0.000
  141.20  4.564  4.564  2.466  2.098  0.834  0.744  0.519  0.253  0.836  0.215  0.431  0.731  0.000
  144.27  4.793  4.793  2.553  2.239  0.890  0.795  0.554  0.262  0.866  0.223  0.446  0.757  0.000
  145.04  4.851  4.851  2.575  2.276  0.905  0.808  0.563  0.264  0.873  0.225  0.450  0.763  0.000
  148.40  5.086  5.086  2.658  2.427  0.965  0.861  0.601  0.272  0.901  0.232  0.464  0.788  0.000
  150.10  5.189  5.189  2.691  2.498  0.993  0.886  0.618  0.276  0.912  0.235  0.470  0.798  0.000
  152.15  5.315  5.315  2.735  2.579  1.025  0.915  0.639  0.280  0.927  0.239  0.478  0.811  0.000
  154.18  5.440  5.440  2.779  2.661  1.058  0.944  0.659  0.285  0.942  0.243  0.486  0.824  0.000
  157.73  5.664  5.664  2.856  2.808  1.116  0.996  0.695  0.293  0.968  0.249  0.499  0.847  0.000
  158.37  5.712  5.712  2.873  2.839  1.128  1.007  0.703  0.294  0.974  0.251  0.502  0.852  0.000
  159.98  5.834  5.834  2.917  2.917  1.159  1.035  0.722  0.299  0.989  0.255  0.510  0.865  0.000
  160.37  5.863  5.863  2.927  2.937  1.167  1.042  0.727  0.300  0.992  0.256  0.511  0.868  0.000
  162.01  5.989  5.989  2.966  3.022  1.202  1.073  0.748  0.304  1.006  0.259  0.518  0.879  0.000
  164.15  6.155  6.155  3.018  3.137  1.246  1.113  0.778  0.309  1.023  0.264  0.527  0.895  0.000
  167.50  6.395  6.395  3.087  3.309  1.304  1.182  0.823  0.352  1.059  0.249  0.499  0.928  0.000
  168.17  6.436  6.436  3.096  3.340  1.314  1.195  0.831  0.360  1.065  0.246  0.492  0.934  0.000
  168.55  6.459  6.459  3.102  3.357  1.319  1.202  0.836  0.364  1.068  0.244  0.489  0.937  0.000
  168.92  6.482  6.482  3.107  3.374  1.325  1.209  0.841  0.369  1.071  0.243  0.485  0.940  0.000
  169.70  6.529  6.529  3.118  3.411  1.337  1.224  0.850  0.378  1.078  0.239  0.477  0.946  0.000
  171.08  6.614  6.614  3.131  3.483  1.360  1.253  0.869  0.394  1.087  0.231  0.463  0.955  0.000
  172.17  6.681  6.681  3.140  3.541  1.379  1.277  0.885  0.407  1.094  0.226  0.451  0.962  0.000
  173.08  6.737  6.737  3.146  3.591  1.395  1.298  0.898  0.417  1.100  0.221  0.441  0.968  0.000
  174.58  6.831  6.831  3.157  3.674  1.422  1.332  0.920  0.434  1.109  0.212  0.425  0.977  0.000
  175.26  6.873  6.873  3.162  3.711  1.434  1.347  0.930  0.442  1.113  0.209  0.417  0.981  0.000
  177.24  6.996  6.996  3.174  3.823  1.472  1.392  0.959  0.464  1.123  0.198  0.398  0.990  0.000
  178.05  7.045  7.045  3.178  3.868  1.502  1.401  0.965  0.470  1.121  0.199  0.404  0.983  0.000
  179.27  7.119  7.119  3.183  3.936  1.546  1.416  0.974  0.480  1.117  0.201  0.413  0.973  0.000
  179.75  7.149  7.149  3.185  3.964  1.564  1.422  0.977  0.483  1.116  0.202  0.416  0.968  0.000
  180.41  7.189  7.189  3.195  3.994  1.587  1.428  0.980  0.489  1.116  0.203  0.422  0.964  0.000
  181.14  7.234  7.234  3.209  4.024  1.610  1.432  0.983  0.497  1.118  0.204  0.429  0.961  0.000
  182.17  7.297  7.297  3.231  4.066  1.642  1.438  0.986  0.508  1.120  0.207  0.439  0.957  0.000
  183.45  7.376  7.376  3.257  4.119  1.684  1.446  0.990  0.522  1.123  0.210  0.452  0.951  0.000
  184.53  7.442  7.442  3.279  4.164  1.719  1.452  0.993  0.534  1.125  0.212  0.463  0.945  0.000
  184.80  7.459  7.459  3.284  4.175  1.728  1.454  0.993  0.537  1.126  0.213  0.466  0.944  0.000
  185.21  7.484  7.484  3.293  4.192  1.741  1.456  0.995  0.541  1.126  0.214  0.470  0.941  0.000
  186.60  7.571  7.571  3.321  4.250  1.788  1.464  0.998  0.557  1.129  0.217  0.484  0.934  0.000
  186.87  7.587  7.587  3.326  4.261  1.797  1.465  0.999  0.560  1.129  0.218  0.487  0.932  0.000
  187.95  7.655  7.655  3.348  4.306  1.834  1.471  1.002  0.572  1.131  0.220  0.499  0.926  0.000
  188.23  7.672  7.672  3.354  4.318  1.843  1.472  1.002  0.576  1.132  0.221  0.502  0.924  0.000
  188.31  7.677  7.677  3.356  4.322  1.846  1.473  1.002  0.577  1.132  0.221  0.503  0.924  0.000
  190.02  7.787  7.787  3.392  4.395  1.906  1.482  1.007  0.597  1.134  0.225  0.522  0.913  0.000
  191.04  7.857  7.857  3.414  4.443  1.938  1.492  1.013  0.607  1.140  0.228  0.529  0.909  0.000
  191.34  7.877  7.877  3.420  4.457  1.943  1.498  1.016  0.608  1.145  0.229  0.528  0.910  0.000
  192.40  7.951  7.951  3.444  4.507  1.962  1.517  1.028  0.611  1.162  0.232  0.526  0.913  0.000
  192.82  7.980  7.980  3.453  4.527  1.969  1.525  1.033  0.613  1.168  0.234  0.525  0.914  0.000
  193.52  8.028  8.028  3.468  4.560  1.982  1.538  1.040  0.615  1.179  0.236  0.523  0.916  0.000
  195.13  8.141  8.141  3.504  4.637  2.010  1.568  1.059  0.620  1.205  0.241  0.518  0.919  0.000
  196.52  8.238  8.238  3.534  4.704  2.035  1.594  1.075  0.625  1.228  0.246  0.513  0.922  0.000
  196.65  8.247  8.247  3.537  4.710  2.038  1.597  1.076  0.625  1.230  0.246  0.513  0.923  0.000
  197.44  8.303  8.303  3.554  4.749  2.052  1.612  1.085  0.628  1.243  0.249  0.510  0.924  0.000
  198.58  8.383  8.383  3.579  4.804  2.072  1.633  1.099  0.632  1.262  0.252  0.506  0.927  0.000
  200.02  8.486  8.486  3.610  4.875  2.098  1.661  1.116  0.636  1.287  0.257  0.500  0.929  0.000
  201.13  8.565  8.565  3.629  4.936  2.121  1.685  1.130  0.639  1.305  0.261  0.495  0.930  0.000
  202.05  8.631  8.631  3.644  4.987  2.140  1.704  1.142  0.641  1.319  0.264  0.490  0.930  0.000
  202.64  8.673  8.673  3.654  5.019  2.152  1.717  1.150  0.642  1.329  0.266  0.487  0.930  0.000
  203.81  8.757  8.757  3.673  5.084  2.176  1.743  1.165  0.645  1.348  0.270  0.481  0.930  0.000
  204.25  8.789  8.789  3.680  5.109  2.185  1.752  1.171  0.646  1.355  0.271  0.478  0.930  0.000
  204.94  8.842  8.842  3.693  5.150  2.200  1.768  1.181  0.647  1.367  0.273  0.475  0.930  0.000
  206.26  8.954  8.954  3.720  5.233  2.232  1.801  1.201  0.651  1.391  0.278  0.468  0.932  0.000
  206.38  8.964  8.964  3.723  5.241  2.235  1.804  1.203  0.652  1.394  0.279  0.467  0.932  0.000
  207.46  9.056  9.056  3.746  5.310  2.263  1.829  1.218  0.671  1.391  0.283  0.460  0.942  0.000
  208.33  9.130  9.130  3.764  5.366  2.287  1.849  1.230  0.690  1.383  0.286  0.453  0.952  0.000
  209.63  9.242  9.242  3.791  5.451  2.323  1.879  1.249  0.719  1.370  0.290  0.443  0.968  0.000
  209.78  9.255  9.255  3.794  5.461  2.328  1.883  1.251  0.722  1.369  0.291  0.442  0.970  0.000
  211.32  9.388  9.388  3.838  5.550  2.365  1.915  1.270  0.760  1.357  0.298  0.431  0.992  0.000
  212.14  9.459  9.459  3.863  5.596  2.385  1.931  1.280  0.781  1.351  0.301  0.424  1.005  0.000
  213.78  9.603  9.603  3.912  5.690  2.426  1.965  1.300  0.822  1.338  0.310  0.413  1.029  0.000
  214.75  9.688  9.688  3.942  5.746  2.459  1.980  1.308  0.799  1.348  0.332  0.433  1.030  0.000
  215.16  9.724  9.724  3.954  5.770  2.473  1.986  1.311  0.790  1.352  0.341  0.442  1.030  0.000
  216.88  9.903  9.903  4.017  5.886  2.539  2.018  1.330  0.753  1.372  0.379  0.479  1.034  0.000
  218.19 10.043 10.043  4.066  5.976  2.590  2.042  1.344  0.727  1.388  0.408  0.506  1.037  0.000
